season,team,model,line,over_odds,under_odds,bet_side,bet_odds,projection,actual_wins,edge,abs_edge,model_prob,market_no_vig_prob,price_edge,push_prob,expected_units,result,pnl_units,prior_residuals,available_models,agreement_count,consensus_share,same_side_models,opposite_side_models,v23_edge,v18_edge,v23_agrees,v18_agrees
2003,ARI,WARPS v2.3,5.0,125,-155,OVER,125,6.092,4.0,1.092,1.092,0.617,0.4224,0.1947,0.0,0.3883,loss,-1.0,94,2,2,1.0,WARPS v1.8|WARPS v2.3,,1.092,1.304,True,True
2003,ATL,WARPS v2.3,9.5,-115,-115,UNDER,-115,9.371,5.0,-0.129,0.129,0.4787,0.5,-0.0213,0.0,-0.105,win,0.8696,94,2,2,1.0,WARPS v1.8|WARPS v2.3,,-0.129,-0.36,True,True
2003,BAL,WARPS v2.3,7.5,-160,130,UNDER,130,7.261,10.0,-0.239,0.239,0.5106,0.414,0.0966,0.0,0.1745,loss,-1.0,94,2,2,1.0,WARPS v1.8|WARPS v2.3,,-0.239,-0.014,True,True
2003,BUF,WARPS v2.3,8.5,-130,100,UNDER,100,7.279,6.0,-1.221,1.221,0.6277,0.4694,0.1583,0.0,0.2553,win,1.0,94,2,2,1.0,WARPS v1.8|WARPS v2.3,,-1.221,-0.901,True,True
2003,CAR,WARPS v2.3,7.5,-115,-115,UNDER,-115,6.463,11.0,-1.037,1.037,0.617,0.5,0.117,0.0,0.1536,loss,-1.0,94,2,2,1.0,WARPS v1.8|WARPS v2.3,,-1.037,-0.54,True,True
2003,CHI,WARPS v2.3,7.5,130,-160,UNDER,-160,6.727,7.0,-0.773,0.773,0.5851,0.586,-0.0009,0.0,-0.0492,win,0.625,94,2,2,1.0,WARPS v1.8|WARPS v2.3,,-0.773,-0.794,True,True
2003,CIN,WARPS v2.3,5.5,-130,100,OVER,-130,5.501,8.0,0.001,0.001,0.5426,0.5306,0.0119,0.0,-0.0401,win,0.7692,94,2,2,1.0,WARPS v1.8|WARPS v2.3,,0.001,0.189,True,True
2003,CLE,WARPS v2.3,8.5,100,-130,OVER,100,8.555,5.0,0.055,0.055,0.5426,0.4694,0.0732,0.0,0.0851,loss,-1.0,94,2,2,1.0,WARPS v1.8|WARPS v2.3,,0.055,0.097,True,True
2003,DAL,WARPS v2.3,7.5,130,-160,UNDER,-160,5.184,10.0,-2.316,2.316,0.766,0.586,0.18,0.0,0.2447,loss,-1.0,94,2,2,1.0,WARPS v1.8|WARPS v2.3,,-2.316,-1.768,True,True
2003,DEN,WARPS v2.3,9.5,-120,-110,UNDER,-110,8.976,10.0,-0.524,0.524,0.5532,0.4899,0.0633,0.0,0.0561,loss,-1.0,94,2,2,1.0,WARPS v1.8|WARPS v2.3,,-0.524,-0.839,True,True
