model,season,bets,wins,pushes,losses,win_pct,units,roi_pct
WARPS v1.5d,2018,10,6,1,3,66.67,2.223,24.7
WARPS v1.5d,2019,11,3,0,8,27.27,-4.867,-44.24
WARPS v1.5d,2020,8,2,0,6,25.0,-4.178,-52.23
WARPS v1.6,2018,11,6,0,5,54.55,0.59,5.36
WARPS v1.6,2019,12,5,0,7,41.67,-1.858,-15.48
WARPS v1.6,2020,9,0,0,9,0.0,-9.0,-100.0
WARPS v1.7,2018,11,6,0,5,54.55,0.59,5.36
WARPS v1.7,2019,11,5,0,6,45.45,-0.858,-7.8
WARPS v1.7,2020,9,0,0,9,0.0,-9.0,-100.0
WARPS v1.8,2003,5,0,0,5,0.0,-5.0,-100.0
WARPS v1.8,2004,5,3,0,2,60.0,0.869,17.38
WARPS v1.8,2005,13,9,0,4,69.23,3.775,29.04
WARPS v1.8,2006,5,2,0,3,40.0,-1.466,-29.32
WARPS v1.8,2007,6,3,0,3,50.0,-0.507,-8.45
WARPS v1.8,2008,5,3,0,2,60.0,0.917,18.33
WARPS v1.8,2009,7,4,0,3,57.14,0.153,2.18
WARPS v1.8,2010,8,2,0,6,25.0,-4.2,-52.5
WARPS v1.8,2011,13,8,0,5,61.54,2.216,17.05
WARPS v1.8,2012,11,3,3,5,37.5,-3.161,-39.51
WARPS v1.8,2013,10,3,0,7,30.0,-3.8,-38.0
WARPS v1.8,2014,8,3,0,5,37.5,-1.812,-22.65
WARPS v1.8,2015,2,1,0,1,50.0,0.0,0.0
WARPS v1.8,2016,6,3,0,3,50.0,0.123,2.06
WARPS v1.8,2017,10,7,0,3,70.0,4.031,40.31
WARPS v1.8,2018,9,5,0,4,55.56,0.756,8.4
WARPS v1.8,2019,12,5,0,7,41.67,-1.858,-15.48
WARPS v1.8,2020,9,1,0,8,11.11,-7.048,-78.31
WARPS v2.3,2003,7,2,0,5,28.57,-3.333,-47.62
WARPS v2.3,2004,7,3,1,3,50.0,-0.131,-2.18
WARPS v2.3,2005,9,5,0,4,55.56,0.783,8.71
WARPS v2.3,2006,5,2,0,3,40.0,-1.606,-32.12
WARPS v2.3,2007,9,4,0,5,44.44,-1.127,-12.52
WARPS v2.3,2008,5,4,0,1,80.0,2.509,50.18
WARPS v2.3,2009,8,4,0,4,50.0,-0.847,-10.59
WARPS v2.3,2010,5,0,0,5,0.0,-5.0,-100.0
WARPS v2.3,2011,7,5,0,2,71.43,2.226,31.79
WARPS v2.3,2012,8,2,3,3,40.0,-1.875,-37.5
WARPS v2.3,2013,7,2,0,5,28.57,-3.0,-42.86
WARPS v2.3,2014,12,6,0,6,50.0,0.205,1.71
WARPS v2.3,2015,2,0,0,2,0.0,-2.0,-100.0
WARPS v2.3,2016,7,4,0,3,57.14,0.838,11.97
WARPS v2.3,2017,8,6,0,2,75.0,4.031,50.39
WARPS v2.3,2018,9,5,0,4,55.56,0.9,10.0
WARPS v2.3,2019,14,6,0,8,42.86,-2.049,-14.63
WARPS v2.3,2020,9,2,0,7,22.22,-4.948,-54.97
