model,side,edge_threshold,price_edge_threshold,model_prob_threshold,min_agreement_count,bets,wins,pushes,losses,win_pct,units,roi_pct,seasons,profitable_seasons,profitable_season_pct,worst_season_units
WARPS v1.5d,ALL,0.5,0.0,0.5,1,58,24,2,32,42.86,-9.915,-17.71,3,0,0.0,-8.601
WARPS v1.5d,ALL,0.5,0.0,0.5,2,58,24,2,32,42.86,-9.915,-17.71,3,0,0.0,-8.601
WARPS v1.5d,ALL,0.5,0.0,0.5,3,58,24,2,32,42.86,-9.915,-17.71,3,0,0.0,-8.601
WARPS v1.5d,ALL,0.5,0.0,0.5,4,58,24,2,32,42.86,-9.915,-17.71,3,0,0.0,-8.601
WARPS v1.5d,ALL,0.5,0.0,0.55,1,58,24,2,32,42.86,-9.915,-17.71,3,0,0.0,-8.601
WARPS v1.5d,ALL,0.5,0.0,0.55,2,58,24,2,32,42.86,-9.915,-17.71,3,0,0.0,-8.601
WARPS v1.5d,ALL,0.5,0.0,0.55,3,58,24,2,32,42.86,-9.915,-17.71,3,0,0.0,-8.601
WARPS v1.5d,ALL,0.5,0.0,0.55,4,58,24,2,32,42.86,-9.915,-17.71,3,0,0.0,-8.601
WARPS v1.5d,ALL,0.5,0.0,0.6,1,40,17,1,22,43.59,-6.712,-17.21,3,1,33.33,-6.601
WARPS v1.5d,ALL,0.5,0.0,0.6,2,40,17,1,22,43.59,-6.712,-17.21,3,1,33.33,-6.601
WARPS v1.5d,ALL,0.5,0.0,0.6,3,40,17,1,22,43.59,-6.712,-17.21,3,1,33.33,-6.601
WARPS v1.5d,ALL,0.5,0.0,0.6,4,40,17,1,22,43.59,-6.712,-17.21,3,1,33.33,-6.601
WARPS v1.5d,ALL,0.5,0.05,0.5,1,49,21,1,27,43.75,-7.024,-14.63,3,1,33.33,-7.226
WARPS v1.5d,ALL,0.5,0.05,0.5,2,49,21,1,27,43.75,-7.024,-14.63,3,1,33.33,-7.226
WARPS v1.5d,ALL,0.5,0.05,0.5,3,49,21,1,27,43.75,-7.024,-14.63,3,1,33.33,-7.226
WARPS v1.5d,ALL,0.5,0.05,0.5,4,49,21,1,27,43.75,-7.024,-14.63,3,1,33.33,-7.226
