team,v17_wins,market_total,v17_edge,v17_signal,v15d_wins,v15d_edge,v15d_signal,v16_wins,v16_edge,v16_signal,consensus,avg_edge,min_edge,max_edge,edge_range
NO,8.266356571153196,4.5,3.766356571153196,Strong Over,8.763408101620893,4.263408101620893,Strong Over,8.250600255521444,3.750600255521445,Strong Over,3-model Over,3.9267883094318443,3.750600255521445,4.263408101620893,0.5128078460994483
NE,11.85373286781831,8.5,3.3537328678183105,Strong Over,11.106567408083,2.6065674080830004,Strong Over,11.843515460609163,3.3435154606091637,Strong Over,3-model Over,3.101271912170158,2.6065674080830004,3.3537328678183105,0.7471654597353101
JAX,10.697923017512865,7.5,3.1979230175128652,Strong Over,9.885759188869322,2.385759188869322,Strong Over,10.688559749751116,3.188559749751116,Strong Over,3-model Over,2.9240806520444345,2.385759188869322,3.1979230175128652,0.8121638286435431
NYG,7.415572436955884,5.5,1.915572436955884,Strong Over,7.615360782047911,2.115360782047911,Strong Over,7.416648831628344,1.9166488316283443,Strong Over,3-model Over,1.982527350210713,1.915572436955884,2.115360782047911,0.1997883450920268
IND,9.221125274298588,7.5,1.721125274298588,Strong Over,8.935741387336886,1.4357413873368865,Playable Over,9.211927477495417,1.7119274774954167,Strong Over,3-model Over,1.622931379710297,1.4357413873368865,1.721125274298588,0.2853838869617016
ARI,5.506290289865687,4.5,1.006290289865687,Playable Over,6.417986778026666,1.9179867780266664,Strong Over,5.518732801753117,1.0187328017531172,Playable Over,2-Strong Over,1.3143366232151568,1.006290289865687,1.9179867780266664,0.9116964881609795
ATL,7.563225541252224,6.5,1.0632255412522236,Playable Over,7.988869867884504,1.488869867884504,Playable Over,7.562465376369909,1.062465376369909,Playable Over,2-Strong Over,1.2048535951688788,1.062465376369909,1.488869867884504,0.42640449151459503
MIA,5.494249455234278,4.5,0.9942494552342778,No bet / lean only,6.027087958972335,1.5270879589723352,Strong Over,5.487757777311355,0.9877577773113552,No bet / lean only,Split / No bet,1.169698397172656,0.9877577773113552,1.5270879589723352,0.53933018166098
CLE,5.995627724030834,5.5,0.4956277240308342,No bet / lean only,6.67778506994756,1.1777850699475598,Playable Over,5.966198210956306,0.4661982109563061,No bet / lean only,Split / No bet,0.7132036683115667,0.4661982109563061,1.1777850699475598,0.7115868589912537
WAS,7.886537548820842,7.5,0.3865375488208418,No bet / lean only,8.443441074919694,0.9434410749196936,No bet / lean only,7.88338842523122,0.3833884252312201,No bet / lean only,Split / No bet,0.5711223496572518,0.3833884252312201,0.9434410749196936,0.5600526496884736
HOU,10.228204514372255,9.5,0.7282045143722549,No bet / lean only,9.392929454028138,-0.1070705459718617,No bet / lean only,10.251004621873388,0.7510046218733883,No bet / lean only,Split / No bet,0.4573795300912605,-0.1070705459718617,0.7510046218733883,0.8580751678452501
PIT,8.61215595498317,8.5,0.11215595498316944,No bet / lean only,8.521596584681994,0.0215965846819941,No bet / lean only,8.61531188003582,0.1153118800358203,No bet / lean only,Split / No bet,0.08302147323366128,0.0215965846819941,0.1153118800358203,0.0937152953538262
SEA,10.824403112954355,10.5,0.3244031129543554,No bet / lean only,9.937718536306066,-0.5622814636939335,No bet / lean only,10.818521831868818,0.3185218318688179,No bet / lean only,Split / No bet,0.026881160376413266,-0.5622814636939335,0.3244031129543554,0.8866845766482889
CAR,7.319221537478181,7.5,-0.18077846252181917,No bet / lean only,7.843492562305724,0.3434925623057241,No bet / lean only,7.303859717591306,-0.1961402824086935,No bet / lean only,Split / No bet,-0.011142060874929518,-0.1961402824086935,0.3434925623057241,0.5396328447144176
