w_pyth_edge,w_pass_epa,w_point_diff,regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,pw_mae,warps_rmse,n,years
0.65,0.0,0.35,0.75,0.0,5.5,2.3576673427894392,2.5877737034133133,2.8815977175463625,2.870994024895315,702,2000-2021
0.7,0.0,0.3,0.75,0.0,5.5,2.357669161532654,2.5877737034133133,2.8815977175463625,2.8712133372204285,702,2000-2021
0.75,0.0,0.25,0.75,0.0,5.5,2.3576778258378224,2.5877737034133133,2.8815977175463625,2.87145749231609,702,2000-2021
0.7,0.05,0.25,0.75,0.0,5.5,2.357713296153265,2.5877737034133133,2.8815977175463625,2.8710692344115003,702,2000-2021
0.6,0.0,0.4,0.75,0.0,5.5,2.357720811609153,2.5877737034133133,2.8815977175463625,2.8707995293378383,702,2000-2021
0.65,0.05,0.3,0.75,0.0,5.5,2.3577435994846003,2.5877737034133133,2.8815977175463625,2.8708480809633374,702,2000-2021
0.75,0.05,0.2,0.75,0.0,5.5,2.3577444742282614,2.5877737034133133,2.8815977175463625,2.8713152754469573,702,2000-2021
0.8,0.0,0.2,0.75,0.0,5.5,2.3577585317185625,2.5877737034133133,2.8815977175463625,2.871726514186524,702,2000-2021
0.55,0.0,0.45,0.75,0.0,5.5,2.357787298366452,2.5877737034133133,2.8815977175463625,2.8706298225635667,702,2000-2021
0.6,0.05,0.35,0.75,0.0,5.5,2.3578120133179645,2.5877737034133133,2.8815977175463625,2.870651789030825,702,2000-2021
0.8,0.05,0.15,0.75,0.0,5.5,2.35781659572378,2.5877737034133133,2.8815977175463625,2.8715862281361053,702,2000-2021
0.5,0.0,0.5,0.75,0.0,5.5,2.357852689702077,2.5877737034133133,2.8815977175463625,2.8704848746241733,702,2000-2021
0.85,0.0,0.15,0.75,0.0,5.5,2.35787925949728,2.5877737034133133,2.8815977175463625,2.8720204248205685,702,2000-2021
0.85,0.05,0.1,0.75,0.0,5.5,2.3578950208130176,2.5877737034133133,2.8815977175463625,2.8718821145232627,702,2000-2021
0.45,0.0,0.55,0.75,0.0,5.5,2.3579289394486707,2.5877737034133133,2.8815977175463625,2.870364653625498,702,2000-2021
0.55,0.05,0.4,0.75,0.0,5.5,2.357932271253828,2.5877737034133133,2.8815977175463625,2.8704803305543787,702,2000-2021
0.9,0.0,0.1,0.75,0.0,5.5,2.357999138792281,2.5877737034133133,2.8815977175463625,2.8723392441754676,702,2000-2021
0.4,0.0,0.6,0.75,0.0,5.5,2.3580124312871567,2.5877737034133133,2.8815977175463625,2.870269125746044,702,2000-2021
0.9,0.05,0.05,0.75,0.0,5.5,2.358026406705567,2.5877737034133133,2.8815977175463625,2.872202954614315,702,2000-2021
0.5,0.05,0.45,0.75,0.0,5.5,2.3580544412145126,2.5877737034133133,2.8815977175463625,2.8703336755042317,702,2000-2021
0.35,0.0,0.65,0.75,0.0,5.5,2.358108875791173,2.5877737034133133,2.8815977175463625,2.8701982552558785,702,2000-2021
0.95,0.0,0.05,0.75,0.0,5.5,2.358118169031868,2.5877737034133133,2.8815977175463625,2.872682990161151,702,2000-2021
0.95,0.05,0.0,0.75,0.0,5.5,2.3581631675531654,2.5877737034133133,2.8815977175463625,2.8725487663608664,702,2000-2021
0.45,0.05,0.5,0.75,0.0,5.5,2.3581819859287414,2.5877737034133133,2.8815977175463625,2.870211791898638,702,2000-2021
0.3,0.0,0.7,0.75,0.0,5.5,2.3582278875622835,2.5877737034133133,2.8815977175463625,2.870152004535934,702,2000-2021
