model,type,w_pass_epa,w_rush_epa,w_success,w_explosive,w_point_diff,w_pyth_edge,w_turnover,regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,prior_wins_mae,warps_rmse,pyth_rmse,prior_wins_rmse,n,years,beats_pythagorean,beats_prior_wins,beats_all_baselines
WARPS_champion (solo_pyth_edge),WARPS composite,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,5.5,2.365313557735095,2.5316534131172905,2.8,2.874484705930225,3.1209420235103,3.533108708044113,351,2015-2025,True,True,True
solo_pyth_edge,single metric,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,5.5,2.365313557735095,2.5316534131172905,2.8,2.874484705930225,3.1209420235103,3.533108708044113,351,2015-2025,True,True,True
pyth_heavy,WARPS composite,0.2,0.1,0.15,0.05,0.15,0.3,0.05,0.75,0.0,5.5,2.377207535239053,2.5316534131172905,2.8,2.8627805353066798,3.1209420235103,3.533108708044113,351,2015-2025,True,True,True
solo_point_diff,single metric,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.0,5.5,2.377851104193419,2.5316534131172905,2.8,2.883428832456157,3.1209420235103,3.533108708044113,351,2015-2025,True,True,True
pdiff_heavy,WARPS composite,0.2,0.1,0.15,0.05,0.35,0.1,0.05,0.75,0.0,5.5,2.379878059366842,2.5316534131172905,2.8,2.8650959978215456,3.1209420235103,3.533108708044113,351,2015-2025,True,True,True
balanced,WARPS composite,0.2,0.15,0.2,0.1,0.15,0.15,0.05,0.75,0.0,5.5,2.3818784230347063,2.5316534131172905,2.8,2.8631978655319745,3.1209420235103,3.533108708044113,351,2015-2025,True,True,True
pass_pyth,WARPS composite,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.75,0.0,5.5,2.3820212050562386,2.5316534131172905,2.8,2.885822923126159,3.1209420235103,3.533108708044113,351,2015-2025,True,True,True
v1_5d_default,WARPS composite,0.3,0.1,0.15,0.08,0.12,0.08,0.07,0.75,0.0,5.5,2.384788894409855,2.5316534131172905,2.8,2.867871634734437,3.1209420235103,3.533108708044113,351,2015-2025,True,True,True
no_explosive_tov,WARPS composite,0.35,0.12,0.2,0.0,0.18,0.15,0.0,0.75,0.0,5.5,2.3856698290755927,2.5316534131172905,2.8,2.8656656085813266,3.1209420235103,3.533108708044113,351,2015-2025,True,True,True
pass_success,WARPS composite,0.35,0.05,0.3,0.05,0.15,0.05,0.05,0.75,0.0,5.5,2.3870836394996164,2.5316534131172905,2.8,2.8634920516052937,3.1209420235103,3.533108708044113,351,2015-2025,True,True,True
pass_success_pdiff,WARPS composite,0.4,0.0,0.25,0.0,0.25,0.1,0.0,0.75,0.0,5.5,2.3885242393573436,2.5316534131172905,2.8,2.872007720636426,3.1209420235103,3.533108708044113,351,2015-2025,True,True,True
epa_dominant,WARPS composite,0.4,0.2,0.1,0.1,0.1,0.05,0.05,0.75,0.0,5.5,2.3910248826811813,2.5316534131172905,2.8,2.8763457427274512,3.1209420235103,3.533108708044113,351,2015-2025,True,True,True
pass_heavy,WARPS composite,0.5,0.05,0.15,0.05,0.15,0.05,0.05,0.75,0.0,5.5,2.39147637275825,2.5316534131172905,2.8,2.878164057397306,3.1209420235103,3.533108708044113,351,2015-2025,True,True,True
efficiency_only,WARPS composite,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.75,0.0,5.5,2.3942356673579845,2.5316534131172905,2.8,2.871599026861444,3.1209420235103,3.533108708044113,351,2015-2025,True,True,True
solo_pass_epa,single metric,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,5.5,2.438050811893053,2.5316534131172905,2.8,2.9430827846446816,3.1209420235103,3.533108708044113,351,2015-2025,True,True,True
solo_success,single metric,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,5.5,2.451770893639677,2.5316534131172905,2.8,2.904226708523815,3.1209420235103,3.533108708044113,351,2015-2025,True,True,True
solo_explosive,single metric,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,5.5,2.5585772345223585,2.5316534131172905,2.8,3.1664441213371304,3.1209420235103,3.533108708044113,351,2015-2025,False,True,False
solo_turnover,single metric,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,5.5,2.603501990557017,2.5316534131172905,2.8,3.192447328233056,3.1209420235103,3.533108708044113,351,2015-2025,False,True,False
solo_rush_epa,single metric,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,5.5,2.6296588611328944,2.5316534131172905,2.8,3.1821121462561512,3.1209420235103,3.533108708044113,351,2015-2025,False,True,False
