regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,pw_mae,warps_rmse,n,years
0.75,0.0,6.5,2.351715965612866,2.5877737034133133,2.8815977175463625,2.855314567874795,702,2000-2021
0.75,0.1,6.5,2.351715965612866,2.5877737034133133,2.8815977175463625,2.855314567874795,702,2000-2021
0.75,0.15,6.5,2.351715965612866,2.5877737034133133,2.8815977175463625,2.855314567874795,702,2000-2021
0.75,0.2,6.5,2.351715965612866,2.5877737034133133,2.8815977175463625,2.855314567874795,702,2000-2021
0.75,0.25,6.5,2.351715965612866,2.5877737034133133,2.8815977175463625,2.855314567874795,702,2000-2021
0.75,0.3,6.5,2.351715965612866,2.5877737034133133,2.8815977175463625,2.855314567874795,702,2000-2021
0.7,0.0,6.0,2.3517392523890193,2.5877737034133133,2.8815977175463625,2.855800168037748,702,2000-2021
0.7,0.1,6.0,2.3517392523890193,2.5877737034133133,2.8815977175463625,2.855800168037748,702,2000-2021
0.7,0.15,6.0,2.3517392523890193,2.5877737034133133,2.8815977175463625,2.855800168037748,702,2000-2021
0.7,0.2,6.0,2.3517392523890193,2.5877737034133133,2.8815977175463625,2.855800168037748,702,2000-2021
0.7,0.25,6.0,2.3517392523890193,2.5877737034133133,2.8815977175463625,2.855800168037748,702,2000-2021
0.7,0.3,6.0,2.3517392523890193,2.5877737034133133,2.8815977175463625,2.855800168037748,702,2000-2021
0.65,0.0,5.5,2.3517666220789932,2.5877737034133133,2.8815977175463625,2.856405375886568,702,2000-2021
0.65,0.1,5.5,2.3517666220789932,2.5877737034133133,2.8815977175463625,2.856405375886568,702,2000-2021
0.65,0.15,5.5,2.3517666220789932,2.5877737034133133,2.8815977175463625,2.856405375886568,702,2000-2021
0.65,0.2,5.5,2.3517666220789932,2.5877737034133133,2.8815977175463625,2.856405375886568,702,2000-2021
0.65,0.25,5.5,2.3517666220789932,2.5877737034133133,2.8815977175463625,2.856405375886568,702,2000-2021
0.65,0.3,5.5,2.3517666220789932,2.5877737034133133,2.8815977175463625,2.856405375886568,702,2000-2021
0.6,0.0,5.5,2.352000542534809,2.5877737034133133,2.8815977175463625,2.853067622921056,702,2000-2021
0.6,0.1,5.5,2.352000542534809,2.5877737034133133,2.8815977175463625,2.853067622921056,702,2000-2021
0.6,0.15,5.5,2.352000542534809,2.5877737034133133,2.8815977175463625,2.853067622921056,702,2000-2021
0.6,0.2,5.5,2.352000542534809,2.5877737034133133,2.8815977175463625,2.853067622921056,702,2000-2021
0.6,0.25,5.5,2.352000542534809,2.5877737034133133,2.8815977175463625,2.853067622921056,702,2000-2021
0.6,0.3,5.5,2.352000542534809,2.5877737034133133,2.8815977175463625,2.853067622921056,702,2000-2021
0.65,0.0,6.0,2.3520319785638293,2.5877737034133133,2.8815977175463625,2.8529757635868838,702,2000-2021
0.65,0.1,6.0,2.3520319785638293,2.5877737034133133,2.8815977175463625,2.8529757635868838,702,2000-2021
0.65,0.15,6.0,2.3520319785638293,2.5877737034133133,2.8815977175463625,2.8529757635868838,702,2000-2021
0.65,0.2,6.0,2.3520319785638293,2.5877737034133133,2.8815977175463625,2.8529757635868838,702,2000-2021
0.65,0.25,6.0,2.3520319785638293,2.5877737034133133,2.8815977175463625,2.8529757635868838,702,2000-2021
0.65,0.3,6.0,2.3520319785638293,2.5877737034133133,2.8815977175463625,2.8529757635868838,702,2000-2021
0.7,0.0,6.5,2.3520650543810118,2.5877737034133133,2.8815977175463625,2.852900608829508,702,2000-2021
0.7,0.1,6.5,2.3520650543810118,2.5877737034133133,2.8815977175463625,2.852900608829508,702,2000-2021
0.7,0.15,6.5,2.3520650543810118,2.5877737034133133,2.8815977175463625,2.852900608829508,702,2000-2021
0.7,0.2,6.5,2.3520650543810118,2.5877737034133133,2.8815977175463625,2.852900608829508,702,2000-2021
