bin,n,stated_pct,lower_adj,upper_adj,width
All,830,50,-2.051,2.113,4.164
All,830,60,-2.56,2.6,5.16
All,830,70,-3.237,3.145,6.382
All,830,80,-3.991,3.803,7.794
All,830,90,-4.694,4.496,9.189
5–7,189,50,-1.931,2.359,4.29
5–7,189,60,-2.364,2.956,5.32
5–7,189,70,-2.848,3.398,6.246
5–7,189,80,-3.47,4.062,7.532
5–7,189,90,-4.568,5.068,9.636
7–9,419,50,-2.107,2.088,4.195
7–9,419,60,-2.712,2.693,5.405
7–9,419,70,-3.404,3.242,6.646
7–9,419,80,-3.997,3.857,7.854
7–9,419,90,-4.738,4.456,9.194
9–11,212,50,-2.055,2.036,4.092
9–11,212,60,-2.535,2.525,5.06
9–11,212,70,-3.323,2.76,6.083
9–11,212,80,-4.088,3.533,7.621
9–11,212,90,-5.146,4.263,9.409
