season,team,warps_wins,actual_wins,proj_bin,hit_50,lo_50,hi_50,hit_60,lo_60,hi_60,hit_70,lo_70,hi_70,hit_80,lo_80,hi_80,hit_90,lo_90,hi_90
2000,ARI,6.47,3.0,5–7,0,4.42,8.57,0,3.91,9.04,0,3.22,9.61,1,2.47,10.27,1,1.73,10.97
2000,ATL,6.75,4.0,5–7,0,4.7,8.86,0,4.19,9.33,1,3.5,9.89,1,2.76,10.56,1,2.01,11.25
2000,BAL,8.95,12.0,7–9,0,6.9,11.05,0,6.39,11.52,1,5.7,12.09,1,4.96,12.75,1,4.21,13.45
2000,BUF,9.15,8.0,9–11,1,7.09,11.25,1,6.59,11.72,1,5.9,12.29,1,5.15,12.95,1,4.41,13.65
2000,CAR,8.49,7.0,7–9,1,6.44,10.6,1,5.93,11.07,1,5.24,11.63,1,4.5,12.3,1,3.75,12.99
2000,CHI,6.99,5.0,5–7,1,4.94,9.09,1,4.43,9.56,1,3.74,10.13,1,2.99,10.79,1,2.25,11.49
2000,CIN,5.9,4.0,5–7,1,3.85,8.01,1,3.34,8.48,1,2.65,9.05,1,1.91,9.71,1,1.17,10.4
2000,CLE,5.31,3.0,5–7,0,3.26,7.42,1,2.75,7.89,1,2.06,8.46,1,1.32,9.12,1,0.57,9.81
2000,DAL,9.34,5.0,9–11,0,7.29,11.44,0,6.78,11.91,0,6.09,12.48,0,5.34,13.14,1,4.6,13.84
2000,DEN,8.19,11.0,7–9,0,6.14,10.3,0,5.63,10.77,1,4.94,11.33,1,4.2,12.0,1,3.45,12.69
2000,DET,8.05,9.0,7–9,1,6.0,10.16,1,5.49,10.63,1,4.8,11.2,1,4.06,11.86,1,3.32,12.55
2000,GB,8.3,9.0,7–9,1,6.25,10.4,1,5.74,10.87,1,5.05,11.44,1,4.31,12.1,1,3.56,12.8
2000,IND,8.65,10.0,7–9,1,6.6,10.76,1,6.09,11.23,1,5.4,11.8,1,4.66,12.46,1,3.92,13.15
2000,JAX,10.66,7.0,9–11,0,8.61,12.76,0,8.1,13.23,0,7.41,13.8,1,6.66,14.46,1,5.92,15.16
2000,KC,8.58,7.0,7–9,1,6.53,10.68,1,6.02,11.15,1,5.33,11.72,1,4.58,12.38,1,3.84,13.08
2000,LAC,6.93,1.0,5–7,0,4.88,9.03,0,4.37,9.5,0,3.68,10.07,0,2.94,10.73,0,2.19,11.43
2000,LAR,11.38,10.0,11+,1,9.33,13.49,1,8.82,13.96,1,8.13,14.53,1,7.39,15.19,1,6.65,15.88
2000,LV,9.12,12.0,9–11,0,7.07,11.22,0,6.56,11.69,1,5.87,12.26,1,5.12,12.92,1,4.38,13.62
2000,MIA,7.5,11.0,7–9,0,5.45,9.61,0,4.94,10.08,0,4.25,10.64,1,3.51,11.31,1,2.76,12.0
2000,MIN,8.51,11.0,7–9,0,6.46,10.62,1,5.95,11.09,1,5.26,11.65,1,4.52,12.32,1,3.77,13.01
2000,NE,8.16,5.0,7–9,0,6.11,10.26,0,5.6,10.73,1,4.91,11.3,1,4.16,11.96,1,3.42,12.66
2000,NO,6.05,10.0,5–7,0,3.99,8.15,0,3.48,8.62,0,2.8,9.19,0,2.05,9.85,1,1.31,10.55
2000,NYG,7.25,12.0,7–9,0,5.2,9.35,0,4.69,9.82,0,4.0,10.39,0,3.26,11.05,0,2.51,11.75
2000,NYJ,7.57,9.0,7–9,1,5.52,9.68,1,5.01,10.15,1,4.32,10.71,1,3.58,11.38,1,2.83,12.07
2000,PHI,7.42,11.0,7–9,0,5.36,9.52,0,4.85,9.99,0,4.17,10.56,1,3.42,11.22,1,2.68,11.92
2000,PIT,8.13,9.0,7–9,1,6.08,10.24,1,5.57,10.71,1,4.88,11.28,1,4.14,11.94,1,3.4,12.63
2000,SEA,8.15,6.0,7–9,0,6.1,10.25,1,5.59,10.72,1,4.9,11.29,1,4.15,11.95,1,3.41,12.65
2000,SF,6.18,6.0,5–7,1,4.13,8.28,1,3.62,8.75,1,2.93,9.32,1,2.18,9.98,1,1.44,10.68
2000,TB,8.28,10.0,7–9,1,6.23,10.39,1,5.72,10.86,1,5.03,11.43,1,4.29,12.09,1,3.55,12.78
2000,TEN,8.96,13.0,7–9,0,6.9,11.06,0,6.39,11.53,0,5.71,12.1,0,4.96,12.76,1,4.22,13.46
2000,WAS,8.64,8.0,7–9,1,6.59,10.74,1,6.08,11.21,1,5.39,11.78,1,4.64,12.44,1,3.9,13.14
2001,ARI,5.5,7.0,5–7,1,3.45,7.62,1,2.94,8.11,1,2.24,8.64,1,1.51,9.3,1,0.85,10.0
2001,ATL,6.31,7.0,5–7,1,4.26,8.43,1,3.75,8.92,1,3.05,9.45,1,2.32,10.11,1,1.66,10.81
2001,BAL,10.17,10.0,9–11,1,8.12,12.29,1,7.62,12.78,1,6.91,13.31,1,6.18,13.97,1,5.52,14.67
2001,BUF,7.56,3.0,7–9,0,5.51,9.68,0,5.0,10.17,0,4.3,10.69,0,3.57,11.36,1,2.91,12.05
2001,CAR,8.21,1.0,7–9,0,6.16,10.33,0,5.65,10.82,0,4.95,11.35,0,4.22,12.01,0,3.56,12.71
2001,CHI,6.44,13.0,5–7,0,4.39,8.56,0,3.88,9.04,0,3.18,9.57,0,2.45,10.24,0,1.79,10.93
2001,CIN,5.74,6.0,5–7,1,3.69,7.86,1,3.18,8.35,1,2.48,8.88,1,1.75,9.54,1,1.09,10.24
2001,CLE,5.2,7.0,5–7,1,3.15,7.32,1,2.64,7.81,1,1.94,8.34,1,1.21,9.0,1,0.55,9.7
2001,DAL,7.22,5.0,7–9,0,5.17,9.34,1,4.66,9.82,1,3.96,10.35,1,3.23,11.01,1,2.57,11.71
2001,DEN,9.14,8.0,9–11,1,7.09,11.26,1,6.58,11.75,1,5.88,12.28,1,5.15,12.94,1,4.49,13.63
2001,DET,8.29,2.0,7–9,0,6.24,10.4,0,5.73,10.89,0,5.03,11.42,0,4.3,12.08,0,3.63,12.78
2001,GB,8.26,12.0,7–9,0,6.21,10.38,0,5.7,10.87,0,5.0,11.4,1,4.27,12.06,1,3.61,12.76
2001,IND,8.83,6.0,7–9,0,6.77,10.94,0,6.27,11.43,1,5.57,11.96,1,4.83,12.62,1,4.17,13.32
2001,JAX,8.59,6.0,7–9,0,6.54,10.71,0,6.04,11.2,1,5.33,11.73,1,4.6,12.39,1,3.94,13.09
2001,KC,7.82,6.0,7–9,1,5.77,9.94,1,5.27,10.43,1,4.56,10.96,1,3.83,11.62,1,3.17,12.32
2001,LAC,6.44,5.0,5–7,1,4.38,8.55,1,3.88,9.04,1,3.18,9.57,1,2.44,10.23,1,1.78,10.93
2001,LAR,8.47,14.0,7–9,0,6.42,10.59,0,5.91,11.08,0,5.21,11.61,0,4.48,12.27,0,3.82,12.97
2001,LV,9.75,10.0,9–11,1,7.7,11.87,1,7.19,12.35,1,6.49,12.88,1,5.76,13.55,1,5.1,14.24
2001,MIA,9.17,11.0,9–11,1,7.12,11.28,1,6.61,11.77,1,5.91,12.3,1,5.18,12.96,1,4.51,13.66
2001,MIN,7.74,5.0,7–9,0,5.69,9.86,0,5.18,10.34,1,4.48,10.87,1,3.75,11.54,1,3.09,12.23
2001,NE,7.35,11.0,7–9,0,5.3,9.47,0,4.8,9.96,0,4.09,10.49,1,3.36,11.15,1,2.7,11.85
2001,NO,8.62,7.0,7–9,1,6.57,10.73,1,6.06,11.22,1,5.36,11.75,1,4.63,12.41,1,3.96,13.11
2001,NYG,9.05,7.0,9–11,1,7.0,11.17,1,6.49,11.65,1,5.79,12.18,1,5.06,12.85,1,4.4,13.54
2001,NYJ,7.76,10.0,7–9,0,5.71,9.88,1,5.2,10.36,1,4.5,10.89,1,3.77,11.55,1,3.11,12.25
2001,PHI,9.51,11.0,9–11,1,7.46,11.63,1,6.95,12.12,1,6.25,12.65,1,5.52,13.31,1,4.86,14.01
2001,PIT,8.81,13.0,7–9,0,6.76,10.93,0,6.25,11.41,0,5.55,11.94,0,4.82,12.6,1,4.16,13.3
