season,model,n,n_win,n_push,n_lose,win_pct,units,roi_pct
2003,WARPS v1.8,6,1,0,5,16.7,-4.333,-72.22
2004,WARPS v1.8,7,3,0,4,42.9,-1.131,-16.16
2005,WARPS v1.8,13,9,0,4,69.2,3.775,29.04
2006,WARPS v1.8,6,2,0,4,33.3,-2.466,-41.1
2007,WARPS v1.8,6,3,0,3,50.0,-0.507,-8.45
2008,WARPS v1.8,7,3,0,4,42.9,-1.083,-15.47
2009,WARPS v1.8,7,4,0,3,57.1,0.153,2.19
2010,WARPS v1.8,8,2,0,6,25.0,-4.2,-52.5
2011,WARPS v1.8,13,8,0,5,61.5,2.216,17.05
2012,WARPS v1.8,11,3,3,5,37.5,-3.161,-39.51
2013,WARPS v1.8,11,4,0,7,36.4,-3.175,-28.86
2014,WARPS v1.8,11,6,0,5,54.5,0.032,0.29
2015,WARPS v1.8,3,2,0,1,66.7,0.625,20.83
2016,WARPS v1.8,6,3,0,3,50.0,0.123,2.05
2017,WARPS v1.8,10,7,0,3,70.0,4.031,40.31
2018,WARPS v1.8,9,5,0,4,55.6,0.756,8.4
2019,WARPS v1.8,12,5,0,7,41.7,-1.858,-15.48
2020,WARPS v1.8,9,1,0,8,11.1,-7.048,-78.31
2015,3-model consensus,5,4,0,1,80.0,3.125,62.5
2016,3-model consensus,7,3,0,4,42.9,-0.877,-12.53
2017,3-model consensus,10,7,0,3,70.0,4.031,40.31
2018,3-model consensus,8,4,0,4,50.0,-0.444,-5.55
2019,3-model consensus,12,5,0,7,41.7,-1.858,-15.48
2020,3-model consensus,9,1,0,8,11.1,-7.048,-78.31
