year,train_n,opt_w_pyth,opt_R,train_mae_opt,oos_mae_champ,oos_mae_opt,oos_delta
2010,318,0.5,0.55,2.4072,2.4024,2.3863,0.0161
2011,350,0.5,0.55,2.4051,2.1068,2.1456,-0.0388
2012,382,0.65,0.6,2.3812,2.5347,2.5323,0.0024
2013,414,1.0,0.6,2.3932,2.364,2.3675,-0.0035
2014,446,0.95,0.6,2.3911,2.0939,2.1867,-0.0928
2015,478,0.7,0.65,2.375,2.3005,2.3097,-0.0092
2016,510,0.7,0.65,2.3707,2.4253,2.4316,-0.0063
2017,542,0.7,0.65,2.3745,2.217,2.2387,-0.0217
2018,574,0.6,0.7,2.3665,2.091,2.1045,-0.0134
2019,606,0.5,0.7,2.3518,2.2118,2.213,-0.0013
2020,638,0.5,0.7,2.3445,2.7799,2.7878,-0.008
2021,670,0.55,0.7,2.3667,1.9378,1.9474,-0.0096
2022,702,0.5,0.7,2.3467,2.4599,2.4466,0.0133
2023,734,0.5,0.7,2.3512,1.8981,1.8987,-0.0006
2024,766,0.5,0.7,2.3315,3.0125,3.036,-0.0235
2025,798,1.0,0.75,2.3604,2.6732,2.664,0.0092
