season,teams,warps_mae,pyth_mae,pw_mae,warps_rmse,delta,warps_wins
2000,31,2.4557624681247634,2.587180325354126,2.774193548387097,2.800275940991393,0.1314178572293625,True
2001,31,2.5903581511550287,3.45210775357774,3.3548387096774195,3.209688098553489,0.8617496024227114,True
2002,32,1.9354422144308177,2.120578252801149,2.548387096774193,2.422837361338768,0.18513603837033132,True
2003,32,2.634545189894147,2.8745375633029635,3.125,3.042665331733005,0.2399923734088163,True
2004,32,2.3461776038212347,2.792460141302733,2.75,3.0499608727542378,0.44628253748149804,True
2005,32,2.7840538616091504,2.944411918377899,3.5,3.171396906233546,0.1603580567687488,True
2006,32,2.1523840424530998,2.802595894672373,3.25,2.6487425712023254,0.650211852219273,True
2007,32,2.68168356127063,3.0038321132805965,3.25,3.2392234641993736,0.3221485520099665,True
2008,32,2.589627889042047,3.0154346816937654,3.21875,3.2322932803484314,0.42580679265171817,True
2009,32,2.113330577363562,2.116626220266859,2.4375,2.5400043889299058,0.0032956429032973134,True
2010,32,2.402363536149008,2.896278264560208,3.3125,2.8355444595566404,0.4939147284112,True
2011,32,2.106782578855181,2.279602776026433,2.8125,2.713255191020042,0.17282019717125197,True
2012,32,2.534666343979912,2.6981905955395407,3.09375,2.9374401381359814,0.16352425155962846,True
2013,32,2.3640348365857684,2.607360077706067,2.71875,3.00021771047737,0.2433252411202984,True
2014,32,2.093901018293179,2.0178934834090767,2.1875,2.500058321333525,-0.0760075348841025,False
2015,32,2.300536717976069,2.4845046338450545,2.6875,2.8849081231722558,0.18396791586898553,True
2016,32,2.425303221946256,2.597135967664369,2.84375,2.921580423505372,0.1718327457181128,True
2017,32,2.217014350442836,2.303367705378433,3.125,2.7673831911912905,0.08635335493559726,True
2018,32,2.0910329340731195,2.19815571479876,2.71875,2.504680164396797,0.10712278072564052,True
2019,32,2.2117624520094683,2.25875984241999,2.46875,2.779710139128896,0.046997390410521866,True
2020,32,2.779871243042247,2.896186710276901,2.90625,3.118453021208826,0.1163154672346538,True
2021,32,1.9378254724672168,1.996212877009516,2.3125,2.203684641492075,0.05838740454229918,True
2022,32,2.4598500148137754,2.852656099704431,3.0,2.864318449718084,0.3928060848906556,True
2023,32,1.8981182783366708,2.13081416994838,2.59375,2.390788400006313,0.232695891611709,True
2024,32,3.012501902204952,3.0761810764080453,2.9375,3.521063088263613,0.06367917420309332,True
2025,32,2.6732022593947,2.9780274204456,3.15625,3.239601126859951,0.3048251610509003,True
