w_pyth,R,mae,in_basin
0.0,0.5,3.3224,False
0.0,0.55,3.4244,False
0.0,0.6,3.5305,False
0.0,0.65,3.639,False
0.0,0.7,3.7496,False
0.0,0.75,3.8629,False
0.0,0.8,3.9793,False
0.0,0.85,4.1001,False
0.0,0.9,4.2233,False
0.0,0.95,4.3477,False
0.05,0.5,3.2251,False
0.05,0.55,3.3139,False
0.05,0.6,3.4056,False
0.05,0.65,3.5006,False
0.05,0.7,3.5981,False
0.05,0.75,3.6977,False
0.05,0.8,3.7986,False
0.05,0.85,3.9029,False
0.05,0.9,4.0107,False
0.05,0.95,4.1211,False
0.1,0.5,3.1311,False
0.1,0.55,3.2074,False
0.1,0.6,3.2856,False
0.1,0.65,3.3672,False
0.1,0.7,3.4505,False
0.1,0.75,3.5366,False
0.1,0.8,3.6246,False
0.1,0.85,3.7134,False
0.1,0.9,3.8049,False
0.1,0.95,3.8998,False
0.15,0.5,3.0401,False
0.15,0.55,3.1049,False
0.15,0.6,3.1716,False
0.15,0.65,3.2391,False
0.15,0.7,3.3095,False
0.15,0.75,3.3817,False
0.15,0.8,3.4556,False
0.15,0.85,3.5315,False
0.15,0.9,3.6093,False
0.15,0.95,3.6882,False
0.2,0.5,2.9546,False
0.2,0.55,3.0065,False
0.2,0.6,3.0608,False
0.2,0.65,3.118,False
0.2,0.7,3.1755,False
0.2,0.75,3.2345,False
0.2,0.8,3.2957,False
0.2,0.85,3.3581,False
0.2,0.9,3.4215,False
0.2,0.95,3.4863,False
0.25,0.5,2.8752,False
0.25,0.55,2.9151,False
0.25,0.6,2.9575,False
0.25,0.65,3.0021,False
0.25,0.7,3.0477,False
0.25,0.75,3.0952,False
0.25,0.8,3.1439,False
0.25,0.85,3.1938,False
0.25,0.9,3.244,False
0.25,0.95,3.2962,False
0.3,0.5,2.8004,False
0.3,0.55,2.8304,False
0.3,0.6,2.8617,False
0.3,0.65,2.8947,False
0.3,0.7,2.929,False
0.3,0.75,2.9648,False
0.3,0.8,3.0012,False
0.3,0.85,3.0388,False
0.3,0.9,3.0781,False
0.3,0.95,3.1181,False
0.35,0.5,2.7316,False
0.35,0.55,2.752,False
0.35,0.6,2.7736,False
0.35,0.65,2.7962,False
0.35,0.7,2.8199,False
0.35,0.75,2.8442,False
0.35,0.8,2.8696,False
0.35,0.85,2.8964,False
0.35,0.9,2.924,False
0.35,0.95,2.9524,False
0.4,0.5,2.6676,False
0.4,0.55,2.6804,False
0.4,0.6,2.6934,False
0.4,0.65,2.7066,False
0.4,0.7,2.7208,False
0.4,0.75,2.7362,False
0.4,0.8,2.7519,False
0.4,0.85,2.7681,False
0.4,0.9,2.785,False
0.4,0.95,2.8031,False
0.45,0.5,2.6073,False
0.45,0.55,2.6133,False
0.45,0.6,2.6195,False
0.45,0.65,2.6261,False
0.45,0.7,2.633,False
0.45,0.75,2.6405,False
0.45,0.8,2.6486,False
0.45,0.85,2.6573,False
0.45,0.9,2.6665,False
0.45,0.95,2.676,False
0.5,0.5,2.5547,False
0.5,0.55,2.5535,False
0.5,0.6,2.5531,False
0.5,0.65,2.5534,False
0.5,0.7,2.5546,False
0.5,0.75,2.5564,False
0.5,0.8,2.5586,False
0.5,0.85,2.5612,False
0.5,0.9,2.5642,False
0.5,0.95,2.5676,False
0.55,0.5,2.5083,False
0.55,0.55,2.5022,False
0.55,0.6,2.4974,False
0.55,0.65,2.4931,False
0.55,0.7,2.4898,False
0.55,0.75,2.487,False
0.55,0.8,2.4846,False
0.55,0.85,2.4823,False
0.55,0.9,2.4804,False
0.55,0.95,2.4789,False
0.6,0.5,2.4681,False
0.6,0.55,2.4596,False
0.6,0.6,2.4524,False
0.6,0.65,2.4457,False
0.6,0.7,2.4391,False
0.6,0.75,2.4325,False
0.6,0.8,2.4267,False
0.6,0.85,2.4221,True
0.6,0.9,2.4186,True
0.6,0.95,2.4156,True
0.65,0.5,2.4375,False
0.65,0.55,2.4274,False
0.65,0.6,2.4177,True
0.65,0.65,2.4088,True
0.65,0.7,2.4015,True
0.65,0.75,2.3957,True
0.65,0.8,2.3902,True
0.65,0.85,2.386,True
0.65,0.9,2.3831,True
0.65,0.95,2.3815,True
0.7,0.5,2.412,True
0.7,0.55,2.4021,True
0.7,0.6,2.3933,True
0.7,0.65,2.3863,True
0.7,0.7,2.3801,True
0.7,0.75,2.3749,True
0.7,0.8,2.372,True
0.7,0.85,2.3706,True
0.7,0.9,2.3707,True
0.7,0.95,2.3723,True
0.75,0.5,2.3954,True
0.75,0.55,2.3878,True
0.75,0.6,2.3814,True
0.75,0.65,2.3763,True
0.75,0.7,2.3738,True
0.75,0.75,2.374,True
0.75,0.8,2.3758,True
0.75,0.85,2.3808,True
0.75,0.9,2.3875,True
0.75,0.95,2.3957,True
0.8,0.5,2.3874,True
0.8,0.55,2.382,True
0.8,0.6,2.3796,True
0.8,0.65,2.3805,True
0.8,0.7,2.3842,True
0.8,0.75,2.3913,True
0.8,0.8,2.4004,True
0.8,0.85,2.4111,True
0.8,0.9,2.4261,False
0.8,0.95,2.4447,False
0.85,0.5,2.3857,True
0.85,0.55,2.3862,True
0.85,0.6,2.3906,True
0.85,0.65,2.3982,True
0.85,0.7,2.4088,True
0.85,0.75,2.4223,True
0.85,0.8,2.4401,False
0.85,0.85,2.4624,False
0.85,0.9,2.4883,False
0.85,0.95,2.5179,False
0.9,0.5,2.3933,True
0.9,0.55,2.4007,True
0.9,0.6,2.4111,True
0.9,0.65,2.425,False
0.9,0.7,2.4438,False
0.9,0.75,2.468,False
0.9,0.8,2.4971,False
0.9,0.85,2.5325,False
0.9,0.9,2.5729,False
0.9,0.95,2.6187,False
0.95,0.5,2.4085,True
0.95,0.55,2.4217,True
0.95,0.6,2.4383,False
0.95,0.65,2.462,False
0.95,0.7,2.4917,False
0.95,0.75,2.5299,False
0.95,0.8,2.5756,False
0.95,0.85,2.6279,False
0.95,0.9,2.6851,False
0.95,0.95,2.7465,False
1.0,0.5,2.4283,False
1.0,0.55,2.4474,False
1.0,0.6,2.4752,False
1.0,0.65,2.5112,False
1.0,0.7,2.5585,False
1.0,0.75,2.6143,False
1.0,0.8,2.6757,False
1.0,0.85,2.7426,False
1.0,0.9,2.8164,False
1.0,0.95,2.8953,False
