year,train_n,oos_champ,oos_opt,delta,exp_wins,w_z_off,w_z_def,w_z_pd
2010,320,2.4192,2.3148,0.1044,1,0.8,0.2,-0.0
2011,352,2.1129,2.0807,0.0322,1,0.8,0.2,-0.0
2012,384,2.5391,2.5472,-0.008,0,0.8,0.2,-0.0
2013,416,2.3785,2.4162,-0.0377,0,0.8,0.2,-0.0
2014,448,2.0277,2.0474,-0.0197,0,0.8,0.2,-0.0
2015,480,2.3013,2.3408,-0.0395,0,0.8,0.2,-0.0
2016,512,2.4233,2.4952,-0.0719,0,0.8,0.2,-0.0
2017,544,2.1908,2.2609,-0.0701,0,0.8,0.2,-0.0
2018,576,2.0539,2.0449,0.009,1,0.7,0.2,0.1
2019,608,2.2191,2.2489,-0.0298,0,0.7,0.2,0.1
2020,640,2.783,2.7815,0.0015,1,0.7,0.2,0.1
2021,672,1.9042,1.846,0.0582,1,0.7,0.2,0.1
2022,704,2.4983,2.3844,0.1138,1,0.7,0.2,0.1
2023,736,1.8813,1.8801,0.0012,1,0.7,0.2,0.1
2024,768,2.9974,2.9975,-0.0001,0,0.7,0.2,0.1
2025,800,2.6754,2.7606,-0.0852,0,0.8,0.2,-0.0
