year,train_n,oos_champ,oos_opt,delta,exp_wins,w_z_pyth,w_z_pd
2010,320,2.4192,2.4084,0.0108,1,1.0,0.0
2011,352,2.1129,2.0557,0.0573,1,1.0,0.0
2012,384,2.5391,2.4969,0.0422,1,1.0,0.0
2013,416,2.3785,2.3609,0.0176,1,1.0,0.0
2014,448,2.0277,2.1157,-0.0879,0,1.0,0.0
2015,480,2.3013,2.2682,0.0331,1,1.0,0.0
2016,512,2.4233,2.47,-0.0467,0,1.0,0.0
2017,544,2.1908,2.2214,-0.0306,0,1.0,0.0
2018,576,2.0539,2.0705,-0.0166,0,1.0,0.0
2019,608,2.2191,2.2089,0.0102,1,1.0,0.0
2020,640,2.783,2.7206,0.0624,1,1.0,0.0
2021,672,1.9042,1.8661,0.038,1,1.0,0.0
2022,704,2.4983,2.4874,0.0109,1,1.0,0.0
2023,736,1.8813,1.8474,0.0339,1,1.0,0.0
2024,768,2.9974,2.9043,0.0931,1,1.0,0.0
2025,800,2.6754,2.6631,0.0122,1,1.0,0.0
