matchup,referee,away,home,spread,favorite,game_type,query
Jets at Patriots,Alan Eck,NYJ,NE,-12.5,HF,DIV,'Alan Eck' in officials and HF and DIV and REG and season>=2018
Commanders vs. Dolphins,Shawn Smith,WAS,MIA,-2.5,HF,NDIV,'Shawn Smith' in officials and HF and NDIV and REG and season>=2018
Panthers at Falcons,Clay Martin,CAR,ATL,-3.5,HF,DIV,'Clay Martin' in officials and HF and DIV and REG and season>=2018
Buccaneers at Bills,Alex Moore,TB,BUF,-5.5,HF,NDIV,'Alex Moore' in officials and HF and NDIV and REG and season>=2018
Chargers at Jaguars,Craig Wrolstad,LAC,JAX,-3.0,AF,C,'Craig Wrolstad' in officials and AF and C and REG and season>=2018
Bears at Vikings,Brad Rogers,CHI,MIN,-3.0,HF,DIV,'Brad Rogers' in officials and HF and DIV and REG and season>=2018
Packers at Giants,Scott Novak,GB,NYG,-7.0,AF,C,'Scott Novak' in officials and AF and C and REG and season>=2018
Texans at Titans,Shawn Hochuli,HOU,TEN,-6.0,AF,DIV,'Shawn Hochuli' in officials and AF and DIV and REG and season>=2018
Bengals at Steelers,Bill Vinovich,CIN,PIT,-5.5,HF,DIV,'Bill Vinovich' in officials and HF and DIV and REG and season>=2018
49ers at Cardinals,Carl Cheffers,SF,ARI,-3.0,AF,DIV,'Carl Cheffers' in officials and AF and DIV and REG and season>=2018
Seahawks at Rams,John Hussey,SEA,LAR,-3.5,HF,DIV,'John Hussey' in officials and HF and DIV and REG and season>=2018
Ravens at Browns,Land Clark,BAL,CLE,-7.5,AF,DIV,'Land Clark' in officials and AF and DIV and REG and season>=2018
Chiefs at Broncos,Adrian Hill,KC,DEN,-3.5,AF,DIV,'Adrian Hill' in officials and AF and DIV and REG and season>=2018
Lions at Eagles,Alex Kemp,DET,PHI,-2.5,HF,C,'Alex Kemp' in officials and HF and C and REG and season>=2018
Cowboys at Raiders,Brad Allen,DAL,LV,-3.5,AF,NDIV,'Brad Allen' in officials and AF and NDIV and REG and season>=2018
