matchup,referee,time,week,away_team,home_team
Jets at Patriots,Alan Eck,8:15 p.m.,11,Jets,Patriots
Commanders vs. Dolphins,Shawn Smith,9:30 a.m.,11,Commanders,Dolphins
Panthers at Falcons,Clay Martin,1 p.m.,11,Panthers,Falcons
Buccaneers at Bills,Alex Moore,1 p.m.,11,Buccaneers,Bills
Chargers at Jaguars,Craig Wrolstad,1 p.m.,11,Chargers,Jaguars
Bears at Vikings,Brad Rogers,1 p.m.,11,Bears,Vikings
Packers at Giants,Scott Novak,1 p.m.,11,Packers,Giants
Texans at Titans,Shawn Hochuli,1 p.m.,11,Texans,Titans
Bengals at Steelers,Bill Vinovich,1 p.m.,11,Bengals,Steelers
49ers at Cardinals,Carl Cheffers,4:05 p.m.,11,49ers,Cardinals
Seahawks at Rams,John Hussey,4:05 p.m.,11,Seahawks,Rams
Ravens at Browns,Land Clark,4:25 p.m.,11,Ravens,Browns
Chiefs at Broncos,Adrian Hill,4:25 p.m.,11,Chiefs,Broncos
Lions at Eagles,Alex Kemp,8:20 p.m.,11,Lions,Eagles
Cowboys at Raiders,Brad Allen,8:15 p.m.,11,Cowboys,Raiders
